threshold,precision,recall,f1,tp,fp,tn,fn,pred_pos,support_pos_rate
0.0,0.005332525694516645,1.0,0.010608481389444277,3539,660124,0,0,663663,0.005332525694516645
0.01,0.005443694144067927,1.0,0.010828441564203418,3539,646571,13553,0,650110,0.005332525694516645
0.02,0.0054950941650143085,1.0,0.010930126257010847,3539,640490,19634,0,644029,0.005332525694516645
0.03,0.00553311111250086,1.0,0.011005328519473896,3539,636065,24059,0,639604,0.005332525694516645
0.04,0.0055646491472202695,1.0,0.011067710369371932,3539,632440,27684,0,635979,0.005332525694516645
0.05,0.0055943724312361685,1.0,0.011126499082747638,3539,629061,31063,0,632600,0.005332525694516645
0.06,0.005626471602932315,1.0,0.011189983083806301,3539,625452,34672,0,628991,0.005332525694516645
0.07,0.005662617444509869,1.0,0.011261465517927179,3539,621437,38687,0,624976,0.005332525694516645
0.08,0.005703841833223469,1.0,0.01134298507367011,3539,616920,43204,0,620459,0.005332525694516645
0.09,0.005746771504074422,0.9991523029104267,0.011427814252772525,3536,611766,48358,3,615302,0.005332525694516645
0.1,0.005798612990139406,0.9991523029104267,0.011530309453158118,3536,606265,53859,3,609801,0.005332525694516645
0.11,0.005852302656643929,0.9983046058208533,0.011636389985392756,3533,600161,59963,6,603694,0.005332525694516645
0.12,0.005912215900528767,0.9977394744278044,0.01175477756305584,3531,593707,66417,8,597238,0.005332525694516645
0.13,0.005977252902668507,0.9971743430347556,0.011883275190927089,3529,586876,73248,10,590405,0.005332525694516645
0.14,0.006042006000857266,0.9957615145521334,0.012011131769682116,3524,579726,80398,15,583250,0.005332525694516645
0.15,0.006114635519083917,0.9946312517660356,0.01215454923714665,3520,572148,87976,19,575668,0.005332525694516645
0.16,0.006195872002480463,0.9937835546764623,0.012314964765614741,3517,564119,96005,22,567636,0.005332525694516645
0.17,0.006277489719291972,0.9920881604973156,0.012476036664125974,3511,555789,104335,28,559300,0.005332525694516645
0.18,0.006367784493981745,0.9909578977112179,0.012654254167568737,3507,547234,112890,32,550741,0.005332525694516645
0.19,0.0064547924572879905,0.9881322407459734,0.012825802712967191,3497,538271,121853,42,541768,0.005332525694516645
0.2,0.006554489947654203,0.9864368465668268,0.013022450764803201,3491,529121,131003,48,532612,0.005332525694516645
0.21,0.006658883638635664,0.9847414523876802,0.013228316568608844,3485,519876,140248,54,523361,0.005332525694516645
0.22,0.0067629108346696975,0.9819157954224357,0.013433300281616092,3475,510357,149767,64,513832,0.005332525694516645
0.23,0.006872327125152559,0.9785250070641424,0.013648796714514312,3463,500442,159682,76,503905,0.005332525694516645
0.24,0.006982145713817075,0.9742865216162758,0.013864929529324246,3448,490383,169741,91,493831,0.005332525694516645
0.25,0.007100733645980662,0.9703306018649336,0.014098298063639407,3434,480178,179946,105,483612,0.005332525694516645
0.26,0.007218362330083133,0.9649618536309692,0.014329533104788121,3415,469684,190440,124,473099,0.005332525694516645
0.27,0.007352957073518761,0.961005933879627,0.014594248981921324,3401,459134,200990,138,462535,0.005332525694516645
0.28,0.007487924310174142,0.9553546199491382,0.014859383034548836,3381,448146,211978,158,451527,0.005332525694516645
0.29,0.007639032434654813,0.9502684374116982,0.015156226762029665,3363,436876,223248,176,440239,0.005332525694516645
0.3,0.007806557881917063,0.9454648205707827,0.015485256379106475,3346,425268,234856,193,428614,0.005332525694516645
0.31,0.007966627005450219,0.9384006781576717,0.015799126076645503,3321,413543,246581,218,416864,0.005332525694516645
0.32,0.00814193044775677,0.9313365357445607,0.016142737849479744,3296,401522,258602,243,404818,0.005332525694516645
0.33,0.008295226552872521,0.9205990392766318,0.01644229677386795,3258,389498,270626,281,392756,0.005332525694516645
0.34,0.008425409648774928,0.9064707544504097,0.016695637692171576,3208,377545,282579,331,380753,0.005332525694516645
0.35,0.008597955374196909,0.8954506922859565,0.017032369025704416,3169,365407,294717,370,368576,0.005332525694516645
0.36,0.008771388152871963,0.883017801638881,0.017370230482114224,3125,353147,306977,414,356272,0.005332525694516645
0.37,0.008940479130649543,0.8694546482057078,0.017698962335779857,3077,341088,319036,462,344165,0.005332525694516645
0.38,0.009160034195855558,0.8598474145238768,0.018126960204680364,3043,329161,330963,496,332204,0.005332525694516645
0.39,0.009373868078887876,0.8482622209663747,0.01854282546457437,3002,317250,342874,537,320252,0.005332525694516645
0.4,0.0095942012997758,0.8355467646227748,0.018970572196595942,2957,305250,354874,582,308207,0.005332525694516645
0.41,0.009817581905960385,0.822266176886126,0.01940349262867316,2910,293497,366627,629,296407,0.005332525694516645
0.42,0.010029769845393397,0.8072901949703306,0.01981337836478947,2857,281995,378129,682,284852,0.005332525694516645
0.43,0.010267473536025742,0.7934444758406329,0.020272611759269955,2808,270677,389447,731,273485,0.005332525694516645
0.44,0.010524028785753491,0.7801638881039842,0.02076790865429819,2761,259591,400533,778,262352,0.005332525694516645
0.45,0.010794213919524641,0.7668833003673354,0.02128877907204769,2714,248717,411407,825,251431,0.005332525694516645
0.46,0.011034253546872728,0.7504944899689178,0.02174874306021847,2656,238049,422075,883,240705,0.005332525694516645
0.47,0.011288396830565504,0.734670810963549,0.022235145212602194,2600,227725,432399,939,230325,0.005332525694516645
0.48,0.011633030356712953,0.7236507487990957,0.022897965022710205,2561,217588,442536,978,220149,0.005332525694516645
0.49,0.011990738319489942,0.7126306866346426,0.023584640993510018,2522,207807,452317,1017,210329,0.005332525694516645
0.5,0.012291426891669033,0.6970895733257982,0.024156907289177864,2467,198242,461882,1072,200709,0.005332525694516645
0.51,0.012678876729947768,0.6852218140717717,0.02489707497869632,2425,188838,471286,1114,191263,0.005332525694516645
0.52,0.013002143210419299,0.6685504379768296,0.02550819636783121,2366,179604,480520,1173,181970,0.005332525694516645
0.53,0.013404779246002843,0.6552698502401808,0.026272112928168036,2319,170679,489445,1220,172998,0.005332525694516645
0.54,0.013808590659574727,0.6411415654139587,0.02703491662546096,2269,162049,498075,1270,164318,0.005332525694516645
0.55,0.014246001938842985,0.6270132805877366,0.027859035040363588,2219,153544,506580,1320,155763,0.005332525694516645
0.56,0.01471316787805987,0.6126024300649902,0.028736165418516802,2168,145183,514941,1371,147351,0.005332525694516645
0.57,0.015219672036906627,0.598474145238768,0.029684445098492652,2118,137044,523080,1421,139162,0.005332525694516645
0.58,0.015752354084861423,0.5837807290194971,0.030676941808840782,2066,129089,531035,1473,131155,0.005332525694516645
0.59,0.016220909474504202,0.5648488273523594,0.031536186156576614,1999,121237,538887,1540,123236,0.005332525694516645
0.6,0.01677194134573011,0.5484600169539418,0.03254854613140155,1941,113788,546336,1598,115729,0.005332525694516645
0.61,0.017326047224324775,0.5303758123763775,0.033555907144708734,1877,106457,553667,1662,108334,0.005332525694516645
0.62,0.018010444277406338,0.5145521333710088,0.034802717708104385,1821,99287,560837,1718,101108,0.005332525694516645
0.63,0.018698618526993813,0.49872845436564,0.03604578734006597,1765,92627,567497,1774,94392,0.005332525694516645
0.64,0.01939930618951981,0.4803616840915513,0.037292560134253215,1700,85932,574192,1839,87632,0.005332525694516645
0.65,0.020228899483805792,0.46397287369313367,0.038767559910282134,1642,79529,580595,1897,81171,0.005332525694516645
0.66,0.021122068230277187,0.44786662899124047,0.040341567085353594,1585,73455,586669,1954,75040,0.005332525694516645
0.67,0.022038288451242276,0.43034755580672507,0.0419293560553919,1523,67584,592540,2016,69107,0.005332525694516645
0.68,0.023114278506559033,0.41424131110483187,0.04378537401251438,1466,61958,598166,2073,63424,0.005332525694516645
0.69,0.024194243735880944,0.396439672223792,0.04560525289299181,1403,56586,603538,2136,57989,0.005332525694516645
0.7,0.02536479708162335,0.37722520486013,0.047533424720941415,1335,51297,608827,2204,52632,0.005332525694516645
0.71,0.026718198622080323,0.35942356597909014,0.04973898762390756,1272,46336,613788,2267,47608,0.005332525694516645
0.72,0.028241455089540374,0.3413393614015259,0.05216677822641591,1208,41566,618558,2331,42774,0.005332525694516645
0.73,0.029562413873794234,0.3212771969482905,0.05414285714285715,1137,37324,622800,2402,38461,0.005332525694516645
0.74,0.03146374829001368,0.30545351794292175,0.057050876081908376,1081,33276,626848,2458,34357,0.005332525694516645
0.75,0.03371337101042109,0.2916077988132241,0.06043923865300147,1032,29579,630545,2507,30611,0.005332525694516645
0.76,0.03517106765366626,0.269850240180842,0.06223120031278508,955,26198,633926,2584,27153,0.005332525694516645
0.77,0.03761926779034089,0.25289629838937555,0.06549579216977681,895,22896,637228,2644,23791,0.005332525694516645
0.78,0.04022518404465188,0.23622492229443345,0.06874434668201627,836,19947,640177,2703,20783,0.005332525694516645
0.79,0.04401005305780508,0.22266176886126024,0.07349375116582726,788,17117,643007,2751,17905,0.005332525694516645
0.8,0.0473295417402105,0.20457756428369597,0.0768740709280102,724,14573,645551,2815,15297,0.005332525694516645
0.81,0.049808135072908676,0.18338513704436282,0.07833906693222283,649,12381,647743,2890,13030,0.005332525694516645
0.82,0.052190545587029784,0.16191014410850524,0.07893649262983882,573,10406,649718,2966,10979,0.005332525694516645
0.83,0.05481400437636762,0.14156541395874542,0.07902831453584669,501,8639,651485,3038,9140,0.005332525694516645
0.84,0.05889487870619946,0.12348120938118112,0.07975180217173099,437,6983,653141,3102,7420,0.005332525694516645
0.85,0.06337218847479888,0.10907035885843458,0.08016614745586707,386,5705,654419,3153,6091,0.005332525694516645
0.86,0.06850442295823904,0.09409437694263917,0.07928571428571426,333,4528,655596,3206,4861,0.005332525694516645
0.87,0.07503867973182053,0.0822266176886126,0.07846838344344075,291,3587,656537,3248,3878,0.005332525694516645
0.88,0.08047888260724975,0.06838089855891495,0.0739382829208677,242,2765,657359,3297,3007,0.005332525694516645
0.89,0.0901495162708883,0.05792596778751059,0.07053156717701703,205,2069,658055,3334,2274,0.005332525694516645
0.9,0.0997624703087886,0.04747103701610624,0.06433084434233198,168,1516,658608,3371,1684,0.005332525694516645
0.91,0.10416666666666667,0.03532071206555524,0.05275374551593162,125,1075,659049,3414,1200,0.005332525694516645
0.92,0.1183206106870229,0.0262786097767731,0.04300578034682081,93,693,659431,3446,786,0.005332525694516645
0.93,0.15670103092783505,0.021474992935857588,0.03777335984095428,76,409,659715,3463,485,0.005332525694516645
0.94,0.1643192488262911,0.009889799378355468,0.01865671641791045,35,178,659946,3504,213,0.005332525694516645
0.95,0.2087912087912088,0.005368748233964397,0.01046831955922865,19,72,660052,3520,91,0.005332525694516645
0.96,0.2542372881355932,0.004238485447866629,0.008337965536409116,15,44,660080,3524,59,0.005332525694516645
0.97,0.37142857142857144,0.003673354054817745,0.00727476217123671,13,22,660102,3526,35,0.005332525694516645
0.98,0.7777777777777778,0.0019779598756710934,0.003945885005636978,7,2,660122,3532,9,0.005332525694516645
0.99,0.0,0.0,0.0,0,0,660124,3539,0,0.005332525694516645
1.0,0.0,0.0,0.0,0,0,660124,3539,0,0.005332525694516645
