code,bucket_id
1,B1
2,B1
4,B2
5,B1
6,B1
7,B2
8,B2
9,B1
10,B3
11,B1
12,B1
14,B2
16,B2
17,B2
18,B1
19,B2
20,B2
21,B2
23,
25,B1
26,B3
27,B1
28,B1
29,B3
30,B1
31,B2
32,B3
34,B3
35,B2
36,B3
37,B2
38,B3
39,B1
40,B1
42,B1
45,B1
46,B1
48,B1
49,B1
50,B1
55,B1
56,B1
58,B1
59,B1
60,B2
61,B3
62,B3
63,B3
65,B2
66,B3
68,B2
69,B1
70,B2
78,B2
88,B1
89,B1
90,B1
96,B1
99,B2
100,B2
150,B1
151,B2
153,B1
155,B1
156,B1
157,B1
158,B1
159,B2
166,B1
301,B1
333,B1
338,B1
400,B1
401,B1
402,B1
403,B1
404,B1
407,B3
408,B2
409,B2
410,B3
411,B3
413,B1
415,B2
416,B1
417,B2
419,B2
420,B1
421,B2
422,B2
423,B2
425,B3
426,B3
428,B1
429,B1
430,B1
488,B1
498,B3
501,B3
502,B3
503,B2
504,B1
505,B2
506,B3
507,B1
509,B2
510,B3
513,B3
514,B1
516,B1
517,B1
518,B1
519,B3
520,B1
521,B1
523,B2
524,B3
525,B2
526,B1
528,B1
529,B2
530,B2
531,B1
532,B3
533,B2
534,B1
536,B3
537,B1
538,B2
539,B1
540,B1
541,B1
543,B1
544,B2
545,B3
546,B2
547,B2
548,B2
550,B3
551,B1
552,B1
553,B2
554,B2
555,B2
557,B2
558,B3
559,B1
560,B1
561,B2
563,B1
564,B3
565,B2
566,B1
567,B2
568,B1
570,B2
571,B3
572,B3
573,B1
576,B3
581,B2
582,B2
584,B3
585,B2
586,B1
587,
589,B1
590,B3
591,B2
592,B3
593,B2
595,B1
596,B1
597,B1
598,B1
599,B3
600,B3
601,B1
603,B3
605,B2
606,B3
607,B2
608,B1
609,B3
610,B3
611,B3
612,B3
613,B3
615,B1
616,B1
617,B3
619,B2
620,B1
622,B3
623,B1
625,B1
626,B2
627,B1
628,B1
629,B2
630,B3
631,B2
632,B2
633,B3
635,B2
636,B1
637,B3
638,B2
639,B2
650,B2
651,B1
652,B2
655,B2
656,B2
657,B3
659,B1
661,B3
662,B3
663,B2
665,B3
666,B1
667,B1
668,B2
669,B2
670,B3
671,B1
672,B1
673,B3
676,B3
677,B1
678,B3
679,B2
680,B1
681,B3
682,B2
683,B1
685,B1
686,B1
687,B3
688,B3
690,B1
691,B3
692,B1
695,B3
697,B3
698,B2
700,B2
701,B3
702,B3
703,B1
705,B1
707,B1
708,B1
709,B1
710,B3
711,B2
712,B2
713,B1
715,B2
716,B3
717,B2
718,B1
719,B2
720,B1
721,B3
722,B3
723,B2
725,B1
726,B2
727,B3
728,B1
729,B1
731,B1
732,B1
733,B2
735,B1
736,B1
737,B3
738,B2
739,B1
750,B3
751,B3
752,B2
753,B3
755,B1
756,B2
757,B2
758,B3
759,B3
760,B3
761,B1
762,B2
766,B2
767,B2
768,B3
776,B1
777,B1
778,B1
779,B2
780,B1
782,B1
783,B1
785,B1
786,B1
788,B1
789,B1
790,B1
791,B2
792,B1
793,B1
795,B1
796,B2
797,B1
798,B2
799,B3
800,B1
801,B3
802,B2
803,B1
806,B2
807,B1
809,B2
810,B3
811,B3
812,B2
813,B3
815,B2
816,B2
818,B3
819,B2
820,B1
821,B3
822,B1
823,B2
825,B1
826,B3
828,B3
829,B2
830,B3
831,B3
833,B3
835,B3
836,B1
837,B3
838,B2
839,B3
848,B2
850,B1
851,B1
852,B1
856,B3
858,B1
859,B3
860,B1
861,B1
862,B2
863,B1
868,B2
869,B1
875,B3
876,B1
877,B1
878,B2
880,B2
881,B3
882,B1
883,B1
885,B1
886,B1
887,B2
888,B2
889,B2
890,B3
892,B3
893,B2
895,B1
897,B1
898,B1
899,B1
900,B1
901,B3
902,B1
903,B1
905,B2
906,B1
908,B3
909,B1
910,B2
911,B3
912,B1
913,B1
915,B1
917,B2
918,B1
919,B1
920,B1
921,B1
922,B2
923,B2
925,B2
926,B1
927,B1
928,B1
929,B3
930,B1
931,B1
932,B2
933,B1
935,B1
936,B3
937,B1
938,B3
939,B3
948,B2
949,B1
950,B1
951,B1
952,B1
953,B3
955,B1
957,B1
958,B1
959,B1
960,B3
961,B1
962,B3
963,B3
965,B1
966,B1
967,B1
968,B1
969,B2
970,B1
971,B1
972,B3
973,B2
975,B3
976,B1
977,B3
978,B2
980,B3
981,B3
982,B1
983,B1
985,B1
987,B2
988,B3
989,B1
990,B1
993,B2
995,B2
996,B3
997,B3
998,B1
999,B1
1201,B1
1202,B3
1203,B2
1205,B1
1206,B3
1207,B1
1208,B1
1209,B2
1210,B2
1211,B3
1212,B2
1213,B1
1215,B3
1216,B2
1217,B2
1218,B3
1219,B2
1222,B3
1223,B2
1225,B2
1226,B1
1227,B1
1228,B1
1229,B2
1230,B1
1231,B2
1234,B3
1236,B3
1238,B3
1239,B2
1255,B2
1256,B2
1258,B1
1259,B2
1260,B3
1266,B3
1267,B3
1268,B2
1269,B2
1270,B3
1277,B1
1278,B2
1279,B1
1282,B2
1283,B2
1286,B1
1287,B2
1288,B3
1289,B1
1296,B3
1298,B3
1299,B1
