range,code,event_date,y_prob,y_pred,close_t,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,
"[0.85,1.00]",10,7/9/25,0.87906814,1,3.29,3.62,3.98,3.9,3.73,3.37,1
"[0.85,1.00]",10,7/10/25,0.90208304,1,3.62,3.98,3.9,3.73,3.37,3.26,1
"[0.85,1.00]",10,7/11/25,0.9429109,1,3.98,3.9,3.73,3.37,3.26,3.18,0
"[0.85,1.00]",26,6/27/25,0.8995054,1,14.38,15.82,16.51,18.16,18.8,17.48,1
"[0.85,1.00]",26,6/30/25,0.925678,1,15.82,16.51,18.16,18.8,17.48,17.16,1
"[0.85,1.00]",26,7/2/25,0.89149314,1,18.16,18.8,17.48,17.16,16.77,17.4,1
"[0.85,1.00]",26,7/3/25,0.85623676,1,18.8,17.48,17.16,16.77,17.4,16.48,0
"[0.85,1.00]",37,7/7/25,0.881104,1,10.56,10.53,10.38,10.29,9.99,10.27,0
"[0.85,1.00]",514,7/7/25,0.8813497,1,5.15,5.67,6.24,6.86,7.08,6.37,1
"[0.85,1.00]",514,7/8/25,0.8821504,1,5.67,6.24,6.86,7.08,6.37,7.01,1
"[0.85,1.00]",514,7/9/25,0.9173056,1,6.24,6.86,7.08,6.37,7.01,6.85,1
"[0.85,1.00]",514,7/10/25,0.85906374,1,6.86,7.08,6.37,7.01,6.85,6.59,1
"[0.85,1.00]",514,7/16/25,0.85251534,1,6.85,6.59,6.31,6.21,6.1,5.98,0
"[0.85,1.00]",533,8/4/25,0.8667398,1,7.68,7.52,7.57,7.56,,,0
"[0.85,1.00]",546,7/18/25,0.8685891,1,5.51,5.6,5.64,5.35,5.65,5.63,1
"[0.85,1.00]",554,6/16/25,0.9046321,1,7.78537389,8.06236305,7.67655672,8.06236305,7.43913744,8.18107269,1
"[0.85,1.00]",554,6/23/25,0.91408277,1,8.18107269,7.35999768,6.81,7.02,6.78,7.07,0
"[0.85,1.00]",558,7/28/25,0.8756722,1,5.71,5.99,6.59,6.7,7.37,7.03,1
"[0.85,1.00]",558,7/31/25,0.85495526,1,6.7,7.37,7.03,7.32,6.62,5.96,1
"[0.85,1.00]",558,8/1/25,0.88252485,1,7.37,7.03,7.32,6.62,5.96,,0
"[0.85,1.00]",558,8/4/25,0.8857805,1,7.03,7.32,6.62,5.96,,,1
"[0.85,1.00]",572,7/24/25,0.85513926,1,4.92,4.6,4.51,4.5,4.54,4.38,0
"[0.85,1.00]",590,7/10/25,0.87205327,1,13.32,14.3,13.86,13.86,12.47,13.02,1
"[0.85,1.00]",590,7/17/25,0.87027085,1,13.02,12.49,12.12,11.83,11.78,12.03,0
"[0.85,1.00]",601,7/7/25,0.93160164,1,6.12,6.28,6.45,5.93,5.97,5.93,1
"[0.85,1.00]",607,7/8/25,0.8850409,1,4.95,5.45,6,6.6,5.94,5.54,1
"[0.85,1.00]",607,7/9/25,0.9128271,1,5.45,6,6.6,5.94,5.54,5.14,1
"[0.85,1.00]",607,7/10/25,0.92822254,1,6,6.6,5.94,5.54,5.14,5.09,1
"[0.85,1.00]",607,7/11/25,0.9343915,1,6.6,5.94,5.54,5.14,5.09,4.96,0
"[0.85,1.00]",633,6/24/25,0.8585431,1,6.15,6.15,6.15,6.15,6.15,6.77,1
"[0.85,1.00]",633,6/25/25,0.8586124,1,6.15,6.15,6.15,6.15,6.77,6.49,1
"[0.85,1.00]",633,6/26/25,0.8844975,1,6.15,6.15,6.15,6.77,6.49,6.04,1
"[0.85,1.00]",633,6/30/25,0.89753675,1,6.15,6.77,6.49,6.04,5.9,6.04,1
"[0.85,1.00]",633,7/1/25,0.9726273,1,6.77,6.49,6.04,5.9,6.04,6.09,0
"[0.85,1.00]",637,6/20/25,0.8746745,1,4.87,5.36,4.82,4.34,4.56,4.24,1
"[0.85,1.00]",637,6/23/25,0.9121208,1,5.36,4.82,4.34,4.56,4.24,4.28,0
"[0.85,1.00]",655,7/9/25,0.890362,1,8.88,9.77,10.21,9.19,8.4,8.22,1
"[0.85,1.00]",655,7/10/25,0.87057626,1,9.77,10.21,9.19,8.4,8.22,8.4,1
"[0.85,1.00]",657,7/24/25,0.8857498,1,17.8,19.08,18.01,19,17.1,16.11,1
"[0.85,1.00]",680,7/28/25,0.85268486,1,11.03,10.71,10.2,9.95,9.89,9.77,0
"[0.85,1.00]",702,7/11/25,0.87090224,1,8.48,7.82,7.49,7.53,7.57,7.54,0
"[0.85,1.00]",705,7/17/25,0.9124116,1,10.55,10.38,9.88,9.47,9.29,9.42,0
"[0.85,1.00]",716,8/5/25,0.8579036,1,6.54,6.54,6.54,,,,0
"[0.85,1.00]",716,8/6/25,0.89001024,1,6.54,6.54,,,,,0
"[0.85,1.00]",716,8/7/25,0.9034838,1,6.54,,,,,,0
"[0.85,1.00]",796,7/8/25,0.85841346,1,4.44,4.4,4.38,4.46,4.35,4.12,1
"[0.85,1.00]",796,7/22/25,0.9193546,1,5.23,4.71,5.18,5.39,5.01,5.16,1
"[0.85,1.00]",796,7/24/25,0.89693475,1,5.18,5.39,5.01,5.16,5.68,5.34,1
"[0.85,1.00]",796,7/25/25,0.8606547,1,5.39,5.01,5.16,5.68,5.34,5.19,1
"[0.85,1.00]",796,7/31/25,0.9119378,1,5.34,5.19,5.32,5.44,5.17,5.01,1
"[0.85,1.00]",838,7/7/25,0.873279,1,3.01,2.96,3.04,3.17,3.07,2.99,1
"[0.85,1.00]",838,7/9/25,0.8667382,1,3.04,3.17,3.07,2.99,2.89,2.88,1
"[0.85,1.00]",838,7/11/25,0.8626875,1,3.07,2.99,2.89,2.88,2.88,2.89,0
