threshold,precision,recall,f1,tp,fp,tn,fn,pred_pos,support_pos_rate
0.0,0.005332525694516645,1.0,0.010608481389444277,3539,660124,0,0,663663,0.005332525694516645
0.01,0.008246995272914982,0.5733257982480927,0.016260097448390822,2029,244000,416124,1510,246029,0.005332525694516645
0.02,0.008391731565240366,0.5654139587454083,0.016538010149263604,2001,236448,423676,1538,238449,0.005332525694516645
0.03,0.008472440002905325,0.5603277762079684,0.016692481228324185,1983,232070,428054,1556,234053,0.005332525694516645
0.04,0.008543971993795656,0.5572195535461995,0.016829887558940878,1972,228834,431290,1567,230806,0.005332525694516645
0.05,0.008574218664471294,0.5532636337948573,0.01688673468507706,1958,226401,433723,1581,228359,0.005332525694516645
0.06,0.008614025400331309,0.5510031082226617,0.016962864375375142,1950,224425,435699,1589,226375,0.005332525694516645
0.07,0.00866436922857728,0.549872845436564,0.017059924519038996,1946,222652,437472,1593,224598,0.005332525694516645
0.08,0.008701850656337422,0.5484600169539418,0.017131887287892493,1941,221115,439009,1598,223056,0.005332525694516645
0.09,0.008715883830299533,0.5461994913817463,0.017157972288055105,1933,219846,440278,1606,221779,0.005332525694516645
0.1,0.008741900819326492,0.544786662899124,0.01720767919459493,1928,218619,441505,1611,220547,0.005332525694516645
0.11,0.008760494817542867,0.5430912687199774,0.01724284874827863,1922,217472,442652,1617,219394,0.005332525694516645
0.12,0.008759438260383803,0.5405481774512574,0.017239514806337074,1913,216480,443644,1626,218393,0.005332525694516645
0.13,0.008775359086038072,0.5391353489686352,0.017269625191205885,1908,215519,444605,1631,217427,0.005332525694516645
0.14,0.008777762386295424,0.5371573890929641,0.017273260066603364,1901,214669,445455,1638,216570,0.005332525694516645
0.15,0.008794010615858888,0.5360271263068663,0.017304131281527357,1897,213818,446306,1642,215715,0.005332525694516645
0.16,0.00879882744340786,0.5343317321277197,0.017312569236544076,1891,213024,447100,1648,214915,0.005332525694516645
0.17,0.008821414228207978,0.5337666007346709,0.017355990756947222,1889,212249,447875,1650,214138,0.005332525694516645
0.18,0.008851879794377722,0.5337666007346709,0.017414953443348393,1889,211512,448612,1650,213401,0.005332525694516645
0.19,0.008852594661175519,0.5320712065555242,0.017415431570672154,1883,210823,449301,1656,212706,0.005332525694516645
0.2,0.008872641509433963,0.5315060751624753,0.017453917852453614,1881,210119,450005,1658,212000,0.005332525694516645
0.21,0.008884599554350758,0.530658378072902,0.01747659550708184,1878,209499,450625,1661,211377,0.005332525694516645
0.22,0.008886674732522004,0.5292455495902797,0.017479841720173212,1873,208892,451232,1666,210765,0.005332525694516645
0.23,0.00889743211544775,0.5283978525007064,0.017500187167777195,1870,208303,451821,1669,210173,0.005332525694516645
0.24,0.008908802870667278,0.527550155411133,0.017521714443917844,1867,207701,452423,1672,209568,0.005332525694516645
0.25,0.008918830982411146,0.5267024583215597,0.01754064036511633,1864,207132,452992,1675,208996,0.005332525694516645
0.26,0.00892176190407667,0.525572195535462,0.01754568008376647,1860,206619,453505,1679,208479,0.005332525694516645
0.27,0.008934023820857916,0.5250070641424132,0.017569075401403254,1858,206111,454013,1681,207969,0.005332525694516645
0.28,0.008942172345307649,0.5241593670528398,0.017584355137617722,1855,205589,454535,1684,207444,0.005332525694516645
0.29,0.008948762055702662,0.5233116699632665,0.01759661749685266,1852,205104,455020,1687,206956,0.005332525694516645
0.3,0.008970868895498096,0.5233116699632665,0.017639355192037524,1852,204594,455530,1687,206446,0.005332525694516645
0.31,0.008974097491331838,0.5221814071771687,0.01764495261738238,1848,204078,456046,1691,205926,0.005332525694516645
0.32,0.008988534387105566,0.5218988414806442,0.017672696306148126,1847,203637,456487,1692,205484,0.005332525694516645
0.33,0.009008262044343865,0.5218988414806442,0.017710825466383473,1847,203187,456937,1692,205034,0.005332525694516645
0.34,0.009019667274496096,0.5213337100875953,0.01773254137592988,1845,202708,457416,1694,204553,0.005332525694516645
0.35,0.009033636087514575,0.5210511443910709,0.017759372065586403,1844,202282,457842,1695,204126,0.005332525694516645
0.36,0.009034709980899445,0.5199208816049732,0.01776078919680692,1840,201819,458305,1699,203659,0.005332525694516645
0.37,0.0090440738681376,0.5193557502119243,0.017778551599392553,1838,201389,458735,1701,203227,0.005332525694516645
0.38,0.009057828093566329,0.5190731845153999,0.017804959606875795,1837,200971,459153,1702,202808,0.005332525694516645
0.39,0.009068490578159517,0.5185080531223509,0.017825225365247128,1835,200514,459610,1704,202349,0.005332525694516645
0.4,0.009081141034972791,0.5182254874258265,0.017849495853933896,1834,200123,460001,1705,201957,0.005332525694516645
0.41,0.009078776994478318,0.5170952246397288,0.01784425765937945,1830,199739,460385,1709,201569,0.005332525694516645
0.42,0.009098050133736366,0.5170952246397288,0.017881483870022134,1830,199312,460812,1709,201142,0.005332525694516645
0.43,0.009110652838797733,0.5168126589432043,0.017905655112999467,1829,198925,461199,1710,200754,0.005332525694516645
0.44,0.009119041677065136,0.5162475275501555,0.017921516119064788,1827,198523,461601,1712,200350,0.005332525694516645
0.45,0.009120501627589518,0.5153998304605821,0.01792382374906647,1824,198165,461959,1715,199989,0.005332525694516645
0.46,0.009129903188951915,0.5148346990675332,0.017941635524832227,1822,197742,462382,1717,199564,0.005332525694516645
0.47,0.009137417725586275,0.5142695676744843,0.017955801104972375,1820,197361,462763,1719,199181,0.005332525694516645
0.48,0.009145651288088016,0.5137044362814355,0.017971352596356308,1818,196965,463159,1721,198783,0.005332525694516645
0.49,0.009158589264742204,0.513421870584911,0.017996157122199555,1817,196576,463548,1722,198393,0.005332525694516645
0.5,0.00916699075219831,0.5128567391918621,0.018012027866542286,1815,196178,463946,1724,197993,0.005332525694516645
0.51,0.009170086893152293,0.5120090421022888,0.018017480535751574,1812,195787,464337,1727,197599,0.005332525694516645
0.52,0.009178498985801217,0.5114439107092399,0.018033366710006524,1810,195390,464734,1729,197200,0.005332525694516645
0.53,0.009177155691513417,0.5103136479231422,0.01803007008366112,1806,194987,465137,1733,196793,0.005332525694516645
0.54,0.009196362192054261,0.5103136479231422,0.018067136518924977,1806,194576,465548,1733,196382,0.005332525694516645
