symbol,strategy,entry_date,entry_price,exit_date,exit_price,pnl_pct,entry_pos,exit_reason,initial_stop,stop_on_exit
1,S3,2024-08-07,9.41275072,2024-08-19,9.61201258,0.02076935483870968,0.2,mean_revert_tp,9.215318815857144,9.215318815857144
1,S2,2025-02-18,11.441516,2025-02-26,11.1215414,-0.028366101694915265,0.2,midband_fail,10.947016725857145,10.947016725857145
1,S3,2025-04-01,10.908225,2025-04-08,10.3555416,-0.05106666666666661,0.2,hit_stop,10.755509850000001,10.755509850000001
1,S1,2025-05-07,10.66582,2025-05-09,10.7336934,0.005963636363636351,0.2,ema50_break or macd_dead,10.531825441857142,10.531825441857142
1,S1,2025-05-08,10.7336934,2025-05-12,10.8209592,0.007730081300813085,0.2,ema50_break or macd_dead,10.577993205571428,10.577993205571428
1,S2,2025-05-13,10.9470098,2025-07-01,12.3,0.12319449975097316,0.2,eod_close,10.61443014,11.733094130167045
2,S3,2024-12-20,7.79,2024-12-31,7.38,-0.053031578947368437,0.11861321776814739,hit_stop,7.490357142857143,7.490357142857143
2,S3,2025-03-26,7.19,2025-04-08,6.6,-0.08245841446453417,0.18201516793066064,hit_stop,7.0022142857142855,7.0022142857142855
2,S3,2025-05-15,6.8,2025-06-04,6.59,-0.03128235294117646,0.1761675315048183,hit_stop,6.597285714285714,6.597285714285714
2,S3,2025-06-03,6.59,2025-06-16,6.46,-0.02012685887708648,0.2,hit_stop,6.462342857142857,6.462342857142857
2,S3,2025-06-19,6.33,2025-07-01,6.35,0.0027595576619272627,0.2,eod_close,6.182057142857143,6.182057142857143
6,S2,2025-03-27,7.58,2025-04-08,6.0,-0.20884327176781003,0.1442459493144994,hit_stop,6.347107142857142,6.799212119241736
6,S1,2025-05-06,6.55,2025-05-08,6.52,-0.004980152671755764,0.0823034781500828,ema50_break or macd_dead,6.06755,6.06755
6,S1,2025-05-07,6.52,2025-05-12,6.5,-0.0034674846625766223,0.08282230719284323,ema50_break or macd_dead,6.163971428571428,6.430927499084632
6,S1,2025-05-09,6.5,2025-05-13,6.52,0.0026769230769230113,0.08331485177792562,ema50_break or macd_dead,6.053514285714286,6.053514285714286
6,S1,2025-05-12,6.52,2025-05-14,6.58,0.008802453987730139,0.08748309831949001,ema50_break or macd_dead,6.100214285714285,6.100214285714285
6,S1,2025-05-13,6.58,2025-05-16,6.5,-0.01255805471124621,0.09159458860057659,ema50_break or macd_dead,6.135721428571428,6.135721428571428
6,S1,2025-05-15,6.5,2025-05-19,6.73,0.034984615384615454,0.0926418349741195,ema50_break or macd_dead,6.168107142857142,6.168107142857142
6,S1,2025-05-16,6.73,2025-06-05,6.74,0.0010858841010400872,0.0904945076733949,ema50_break or macd_dead,6.159757142857142,6.697122377947359
9,S3,2024-08-20,7.6,2024-09-03,7.36,-0.03197894736842096,0.147887323943662,hit_stop,7.391357142857143,7.391357142857143
12,S3,2024-09-10,4.7,2024-09-19,5.0,0.06342978723404251,0.16089593114241008,mean_revert_tp,4.553942857142857,4.553942857142857
12,S3,2025-04-07,4.58,2025-05-08,4.83,0.05418515283842795,0.16360481730965495,mean_revert_tp,4.440028571428572,4.440028571428572
12,S3,2025-05-27,4.66,2025-06-16,4.55,-0.024005150214592343,0.2,hit_stop,4.577985714285715,4.577985714285715
25,S3,2024-08-20,13.15718208,2024-08-26,13.5251456,0.027566742252456537,0.15774647887323934,mean_revert_tp,12.788295099428572,12.788295099428572
25,S2,2025-03-14,16.72742272,2025-03-25,16.0113856,-0.04320618311533884,0.2,hit_stop,15.9431631744,16.44279076145113
25,S1,2025-05-26,17.7020288,2025-05-28,17.9,0.010783531686492216,0.09572458137160797,hit_stop,16.918777957485716,19.20755146173862
25,S1,2025-05-30,17.58,2025-06-11,17.96,0.021215472127417666,0.07983087960519464,ema50_break or macd_dead,16.478922316342853,16.478922316342853
27,S3,2025-01-02,6.14573256,2025-01-10,5.93077848,-0.035376152623211456,0.16293550778354338,hit_stop,5.947667729142857,5.947667729142857
27,S3,2025-01-09,5.93077848,2025-02-07,6.01871424,0.014427018121911137,0.1653178740954011,mean_revert_tp,5.751403487657143,5.751403487657143
27,S2,2025-03-14,6.2043564,2025-04-08,5.79398952,-0.06654173228346452,0.2,hit_stop,6.017862798514285,6.17354021424947
28,S3,2024-08-20,26.5508166,2024-08-23,25.32918348,-0.04641113172541743,0.11701785028553027,hit_stop,25.45406309605714,25.45406309605714
28,S2,2025-03-10,25.94000004,2025-03-24,25.62473988,-0.012553437143942314,0.2,midband_fail,25.286954100085712,25.286954100085712
28,S2,2025-05-12,24.7774782,2025-05-27,24.60999624,-0.007159443339960236,0.2,hit_stop,24.06978951137143,24.66344749252767
28,S2,2025-06-04,25.38829476,2025-06-17,24.9745158,-0.016698020954598446,0.2,midband_fail,24.491337382457143,24.830004284819296
30,S3,2024-08-20,4.58,2024-09-12,4.37,-0.04625152838427946,0.1158704806156527,hit_stop,4.3632285714285715,4.3632285714285715
30,S1,2025-05-23,6.18,2025-05-27,6.17,-0.002018122977346244,0.09963150621833261,ema50_break or macd_dead,5.869857142857143,5.869857142857143
39,S3,2024-11-27,8.16,2024-12-27,7.82,-0.04206666666666665,0.1396713615023473,hit_stop,7.867885714285714,7.867885714285714
39,S2,2025-03-07,8.4,2025-04-01,8.78,0.04483809523809512,0.2,midband_fail,8.085971428571428,8.760438385813574
39,S2,2025-05-12,8.19,2025-05-27,7.81,-0.04679804639804638,0.2,hit_stop,7.5164285714285715,7.909790337098743
40,S3,2024-12-25,1.11,2024-12-30,1.0,-0.09949909909909918,0.05825864276568498,hit_stop,1.0695857142857141,1.0695857142857141
40,S3,2024-12-27,1.0,2025-01-02,0.9,-0.10039999999999998,0.05391725352112674,hit_stop,0.9526285714285714,0.9526285714285714
42,S3,2024-08-28,3.45,2024-09-06,3.75,0.08655652173913038,0.07648582075412115,mean_revert_tp,3.2338142857142858,3.2338142857142858
42,S2,2025-04-18,6.9,2025-05-14,6.73,-0.025037681159420278,0.1452921833046731,midband_fail,6.064735714285714,6.668875503163464
45,S2,2025-02-10,10.8803142,2025-02-19,10.3834962,-0.0460621004566211,0.2,hit_stop,10.086945535800002,10.581532632077849
45,S2,2025-03-12,11.1287232,2025-03-25,10.67165064,-0.0414714285714286,0.16790957571122025,hit_stop,10.261087342200002,10.836609833904586
45,S1,2025-04-29,9.81712368,2025-05-06,9.86680548,0.004660728744939282,0.09017491333123226,ema50_break or macd_dead,9.207087955199999,9.207087955199999
45,S1,2025-04-30,9.86680548,2025-05-07,10.26425988,0.03988197381671693,0.098502994011976,ema50_break or macd_dead,9.309375684,9.309375684
45,S1,2025-05-07,10.06553268,2025-05-09,10.16489628,0.00947166831194474,0.10551668939349018,ema50_break or macd_dead,9.6264307368,9.6264307368
45,S1,2025-05-08,10.16489628,2025-05-12,10.22451444,0.00546510263929613,0.10624295962530379,ema50_break or macd_dead,9.6959852568,9.6959852568
45,S1,2025-05-09,10.22451444,2025-05-13,10.3338144,0.01028999028182697,0.11218090135518428,ema50_break or macd_dead,9.654877116,9.654877116
45,S1,2025-05-13,10.21457808,2025-05-15,10.19470536,-0.0023455252918288326,0.11385187185311071,ema50_break or macd_dead,9.7279874334,9.7279874334
45,S1,2025-05-14,10.19470536,2025-05-16,10.00591452,-0.01891851851851863,0.11391465090926327,ema50_break or macd_dead,9.7852350618,9.7852350618
45,S1,2025-05-15,10.00591452,2025-05-19,10.2344508,0.022440119165839142,0.11624292398808943,ema50_break or macd_dead,9.6515981172,9.6515981172
45,S1,2025-05-16,10.2344508,2025-05-23,10.20464172,-0.003312621359223273,0.11722708429295259,ema50_break or macd_dead,9.6837777288,10.164151903898604
