threshold,precision,recall,f1,tp,fp,tn,fn,pred_pos,support_pos_rate
0.0,0.005610891896400392,1.0,0.011159170891276375,3599,637832,0,0,641431,0.005610891896400392
0.01,0.00579657391718904,1.0,0.01152633458396786,3599,617285,20547,0,620884,0.005610891896400392
0.02,0.0058699286442405706,1.0,0.011671347312574182,3599,609526,28306,0,613125,0.005610891896400392
0.03,0.0059261527923228415,1.0,0.011782480803133702,3599,603709,34123,0,607308,0.005610891896400392
0.04,0.0059816047786357485,1.0,0.011892075859482517,3599,598079,39753,0,601678,0.005610891896400392
0.05,0.006042412734229538,1.0,0.012012242541161707,3599,592024,45808,0,595623,0.005610891896400392
0.06,0.006107826299461683,1.0,0.012141494459747354,3599,585645,52187,0,589244,0.005610891896400392
0.07,0.00617941066381877,1.0,0.012282920120064779,3599,578819,59013,0,582418,0.005610891896400392
0.08,0.00625793326494062,1.0,0.012438030167147911,3599,571511,66321,0,575110,0.005610891896400392
0.09,0.006342543150088644,1.0,0.01260513767058877,3599,563839,73993,0,567438,0.005610891896400392
0.1,0.006434426595868308,1.0,0.0127865788884665,3599,555736,82096,0,559335,0.005610891896400392
0.11,0.006531950111074006,1.0,0.012979121249659654,3599,547385,90447,0,550984,0.005610891896400392
0.12,0.006630084769974582,0.9994442900805779,0.013172784302523593,3597,538930,98902,2,542527,0.005610891896400392
0.13,0.0067405623694098025,0.9994442900805779,0.01339081294184657,3597,530038,107794,2,533635,0.005610891896400392
0.14,0.0068584307025839715,0.9994442900805779,0.013623374483726374,3597,520867,116965,2,524464,0.005610891896400392
0.15,0.006984194788551901,0.9994442900805779,0.013871454767372579,3597,511423,126409,2,515020,0.005610891896400392
0.16,0.007112983122237713,0.9994442900805779,0.014125436388412193,3597,502098,135734,2,505695,0.005610891896400392
0.17,0.00724620153913755,0.9988885801611559,0.01438802851991411,3595,492527,145305,4,496122,0.005610891896400392
0.18,0.0073863379465405055,0.9986107252014449,0.01466421039102521,3594,482980,154852,5,486574,0.005610891896400392
0.19,0.007535496319288605,0.9983328702417338,0.014958087796023803,3593,473217,164615,6,476810,0.005610891896400392
0.2,0.007689967912055899,0.9974993053626007,0.015262275184348303,3590,463252,174580,9,466842,0.005610891896400392
0.21,0.007852978920029258,0.9963878855237566,0.015583140137449726,3586,453056,184776,13,456642,0.005610891896400392
0.22,0.008023211525104743,0.9949986107252015,0.01591806707280482,3581,442749,195083,18,446330,0.005610891896400392
0.23,0.008200765007009888,0.9930536260072242,0.01626719343122172,3574,432239,205593,25,435813,0.005610891896400392
0.24,0.008386661304471554,0.990830786329536,0.01663254026371392,3566,421633,216199,33,425199,0.005610891896400392
0.25,0.00859256613935352,0.9894415115309808,0.017037177024450578,3561,410867,226965,38,414428,0.005610891896400392
0.26,0.00878966749433764,0.9855515420950264,0.017423939126739875,3547,399995,237837,52,403542,0.005610891896400392
0.27,0.00902239542049715,0.9836065573770492,0.017880774631524717,3540,388817,249015,59,392357,0.005610891896400392
0.28,0.009251220337471508,0.9799944429008057,0.018329409685952303,3527,377720,260112,72,381247,0.005610891896400392
0.29,0.009483208395396805,0.9747151986662962,0.01878366656314589,3508,366409,271423,91,369917,0.005610891896400392
0.3,0.009761079578749979,0.9719366490691859,0.019328049154466922,3498,354864,282968,101,358362,0.005610891896400392
0.31,0.010036541084927018,0.9669352597943873,0.019866869141271705,3480,343253,294579,119,346733,0.005610891896400392
0.32,0.010304051535169473,0.9599888858016116,0.020389254774213345,3455,331850,305982,144,335305,0.005610891896400392
0.33,0.010604309700224322,0.9535982217282578,0.020975366778612704,3432,320210,317622,167,323642,0.005610891896400392
0.34,0.01093454977928943,0.9477632675743262,0.021619668764617517,3411,308536,329296,188,311947,0.005610891896400392
0.35,0.011271423196156061,0.9405390386218394,0.02227589202279577,3385,296932,340900,214,300317,0.005610891896400392
0.36,0.01160600520746773,0.9313698249513754,0.02292632046919618,3352,285464,352368,247,288816,0.005610891896400392
0.37,0.011935039951582573,0.9205334815226451,0.02356455714209506,3313,274273,363559,286,277586,0.005610891896400392
0.38,0.012329276119487012,0.9127535426507363,0.02432990912390108,3285,263154,374678,314,266439,0.005610891896400392
0.39,0.01272840458394835,0.9033064740205613,0.02510308402699489,3251,252162,385670,348,255413,0.005610891896400392
0.4,0.013153536980778745,0.8938594053903862,0.025925567751398225,3217,241356,396476,382,244573,0.005610891896400392
0.41,0.0135698258360936,0.8821894970825229,0.02672851406298669,3175,230800,407032,424,233975,0.005610891896400392
0.42,0.014004149377593362,0.8702417338149486,0.027564720326340945,3132,220516,417316,467,223648,0.005610891896400392
0.43,0.014498249162032096,0.8605168102250625,0.028516051212875957,3097,210515,427317,502,213612,0.005610891896400392
0.44,0.01493013932831568,0.8444012225618227,0.029341482135874525,3039,200509,437323,560,203548,0.005610891896400392
0.45,0.015358203414996288,0.8277299249791609,0.03015685817975674,2979,190989,446843,620,193968,0.005610891896400392
0.46,0.01595831209534861,0.8177271464295638,0.0313056798055495,2943,181475,456357,656,184418,0.005610891896400392
0.47,0.016532654133449072,0.8043901083634343,0.03239940237371787,2895,172213,465619,704,175108,0.005610891896400392
0.48,0.017048770070204358,0.7874409558210614,0.03337494406105001,2834,163395,474437,765,166229,0.005610891896400392
0.49,0.017707883437920784,0.774659627674354,0.034624292890718625,2788,154656,483176,811,157444,0.005610891896400392
0.5,0.01838935536657993,0.7618782995276465,0.03591190973563753,2742,146366,491466,857,149108,0.005610891896400392
0.51,0.019059711444338833,0.7465962767435399,0.03717050429874738,2687,138291,499541,912,140978,0.005610891896400392
0.52,0.019747615113047397,0.7304806890803001,0.0384556312121057,2629,130501,507331,970,133130,0.005610891896400392
0.53,0.020576033380314215,0.7179772158933037,0.040005573531916215,2584,122999,514833,1015,125583,0.005610891896400392
0.54,0.021475999154155212,0.7054737427063074,0.041683083793012866,2539,115686,522146,1060,118225,0.005610891896400392
0.55,0.022375215146299483,0.6899138649624896,0.043344680108230775,2483,108488,529344,1116,110971,0.005610891896400392
0.56,0.023422401276886242,0.6768546818560711,0.04527796881098864,2436,101567,536265,1163,104003,0.005610891896400392
0.57,0.024534260526072153,0.6626840789108086,0.047316734450947334,2385,94826,543006,1214,97211,0.005610891896400392
0.58,0.025601728833368247,0.6451792164490137,0.049249172817510824,2322,88375,549457,1277,90697,0.005610891896400392
0.59,0.02683189527630816,0.6298971936649069,0.05147125601671056,2267,82222,555610,1332,84489,0.005610891896400392
0.6,0.02818624327837101,0.6146151708808002,0.053900605528954516,2212,76266,561566,1387,78478,0.005610891896400392
0.61,0.029733829816577025,0.5990552931369825,0.05665558606735078,2156,70354,567478,1443,72510,0.005610891896400392
0.62,0.03147533135864525,0.5846068352320088,0.059734544680247005,2104,64742,573090,1495,66846,0.005610891896400392
0.63,0.03332465079933579,0.5687691025284801,0.062960399846213,2047,59379,578453,1552,61426,0.005610891896400392
0.64,0.035335312205613124,0.5523756599055293,0.06642165051787503,1988,54273,583559,1611,56261,0.005610891896400392
0.65,0.03721246238959526,0.5326479577660461,0.0695649018398229,1917,49598,588234,1682,51515,0.005610891896400392
0.66,0.03970795439989753,0.5168102250625174,0.07374952915287168,1860,44982,592850,1739,46842,0.005610891896400392
0.67,0.04220809792843691,0.4981939427618783,0.07782286941990929,1793,40687,597145,1806,42480,0.005610891896400392
0.68,0.044885448594732195,0.4801333703806613,0.08209611136185477,1728,36770,601062,1871,38498,0.005610891896400392
0.69,0.047646482687100304,0.459572103362045,0.08634145068253596,1654,33060,604772,1945,34714,0.005610891896400392
0.7,0.05073439805015714,0.4395665462628508,0.09096920732583882,1582,29600,608232,2017,31182,0.005610891896400392
0.71,0.05390015041902443,0.4181717143651014,0.09549189429269377,1505,26417,611415,2094,27922,0.005610891896400392
0.72,0.05747861539691422,0.39955543206446237,0.10049970297375686,1438,23580,614252,2161,25018,0.005610891896400392
0.73,0.06151355726426548,0.3801055848846902,0.105890548804087,1368,20871,616961,2231,22239,0.005610891896400392
0.74,0.06565349544072949,0.360100027785496,0.11105874287672994,1296,18444,619388,2303,19740,0.005610891896400392
0.75,0.06981917745707604,0.3400944706863018,0.1158542356838618,1224,16307,621525,2375,17531,0.005610891896400392
0.76,0.07574180114523686,0.3234231731036399,0.12273949491221596,1164,14204,623628,2435,15368,0.005610891896400392
0.77,0.08134964775676677,0.30480689080300083,0.128424256614376,1097,12388,625444,2502,13485,0.005610891896400392
0.78,0.08677086002220515,0.28230063906640734,0.13274105043114712,1016,10693,627139,2583,11709,0.005610891896400392
0.79,0.09400356224025332,0.2639622117254793,0.13863553447646845,950,9156,628676,2649,10106,0.005610891896400392
0.8,0.10345224395857307,0.24979160878021672,0.1463097078688258,899,7791,630041,2700,8690,0.005610891896400392
0.81,0.11172730961720546,0.22950819672131148,0.1502911208151383,826,6567,631265,2773,7393,0.005610891896400392
0.82,0.12304500478774337,0.21422617393720478,0.15631018753167764,771,5495,632337,2828,6266,0.005610891896400392
0.83,0.1308712121212121,0.19199777716032232,0.15564815857641626,691,4589,633243,2908,5280,0.005610891896400392
0.84,0.14285714285714285,0.17365934981939427,0.15675946827188358,625,3750,634082,2974,4375,0.005610891896400392
0.85,0.15490249931337544,0.1567101972770214,0.1558011049723757,564,3077,634755,3035,3641,0.005610891896400392
0.86,0.16521155137676294,0.13670464017782719,0.14961228523642997,492,2486,635346,3107,2978,0.005610891896400392
0.87,0.18021346469622332,0.12197832731314254,0.14548467274233637,439,1997,635835,3160,2436,0.005610891896400392
0.88,0.19387242591662482,0.1072520144484579,0.13810375670840785,386,1605,636227,3213,1991,0.005610891896400392
0.89,0.21813570069752694,0.0955821061405946,0.1329211746522411,344,1233,636599,3255,1577,0.005610891896400392
0.9,0.24308466051969824,0.08057793831619894,0.12103505843071785,290,903,636929,3309,1193,0.005610891896400392
0.91,0.2554585152838428,0.06501806057238121,0.10365448504983386,234,682,637150,3365,916,0.005610891896400392
0.92,0.2791411042944785,0.050569602667407614,0.0856269113149847,182,470,637362,3417,652,0.005610891896400392
0.93,0.31140350877192985,0.03945540427896638,0.07003699136868063,142,314,637518,3457,456,0.005610891896400392
0.94,0.36577181208053694,0.03028619060850236,0.05594046702591737,109,189,637643,3490,298,0.005610891896400392
0.95,0.4463276836158192,0.021950541817171435,0.04184322033898305,79,98,637734,3520,177,0.005610891896400392
0.96,0.5555555555555556,0.013892747985551542,0.027107617240444568,50,40,637792,3549,90,0.005610891896400392
0.97,0.4722222222222222,0.004723534315087524,0.009353507565337002,17,19,637813,3582,36,0.005610891896400392
0.98,0.5909090909090909,0.003612114476243401,0.007180336923501796,13,9,637823,3586,22,0.005610891896400392
0.99,1.0,0.0030564045568213394,0.006094182825484765,11,0,637832,3588,11,0.005610891896400392
1.0,0.0,0.0,0.0,0,0,637832,3599,0,0.005610891896400392
